formula,cell_volume,s_electrons,p_electrons,d_electrons,f_electrons,min_M_O_distance,overpotential_in_eV
Ca16K16O48,95.36093697143242,3,0,0,0,2.284336999999999,4.80181420326233
K16Mg16O48,70.32747214842631,3,0,0,0,2.063850999999998,4.248194818496705
Ba16O48Tb16,88.21841085680296,4,0,0,9,2.225818499999999,3.7565554141998287
Ge16Hg16O48,55.75654003333582,4,2,20,14,1.910154999999996,3.7545713138580323
Ni16O48Y16,53.02524252258977,4,0,9,0,1.8784409999999987,3.4591916751861573
Ga16La16O48,59.93511816444757,4,1,11,0,1.9567279999999982,3.9364260196685787
Al16O48Pb16,56.37926771481136,4,3,10,14,1.9172399999999996,3.6079038333892823
Mn16O48Rb16,65.90328141912995,3,0,5,0,2.0196325,3.3984616947174073
Ge16O48Sr16,57.369984634776266,4,2,10,0,1.928404999999998,5.21197045326233
Na16O48W16,62.55129454918113,3,0,4,14,1.9847939999999973,3.4753981876373294
Ba16Nb16O48,70.62797941745363,3,0,4,0,2.0667864149999993,3.9029782962799078
Ba16Np16O48,85.63207796094373,4,0,1,4,2.20384417,5.41759789466858
Ba16O48Ru16,67.1049654561984,3,0,7,0,2.031834,4.70910180091858
O48Sr16Tc16,62.21175901326081,4,0,5,0,1.9811927349999996,4.13866723060608
Cd16O48Rb16,89.05753605405575,3,0,10,0,2.2328534999999974,4.53856957435608
As16Fe16O48,54.84869713950585,4,3,16,0,1.8997309999999992,3.7474607181549073
Nb16O48Rb16,68.86332417595557,2,0,4,0,2.049427999999999,3.2193845462799073
K16O48Tc16,58.14690296217846,3,0,5,0,1.9370709749999975,4.06109154701233
O48Rb16Tb16,93.27023664401831,3,0,0,9,2.267519499999999,4.654139642715455
Co16O48Rh16,59.03790807124489,3,0,15,0,1.9469149999999988,13.375033922195435
